CompanyID,CompanyName,Sector,Country,City,FoundedYear,Stage,VerificationStatus,VerificationStep,CTI_Score,CTI_Tier,ProfileCompletenessPct,Employees,AnnualRevenueUSD,TotalFundingUSD,HasFinancials,DiasporaOwned,WomenLed,YouthLed,ListingBucket,Website,Email,Phone,Description,DataSourcesCount,LastUpdated
RMC-100000,Blue Remit,FinTech,Ghana,Accra,2011,Mature,Verified,3,55.0,Silver,84,26,335451.62,21976129.17,True,False,True,True,Latest,https://blueremit.africa,info@blueremit.africa,+221-31-4657,"Blue Remit operates in fintech from Accra, Ghana, serving local and regional markets.",1,2025-09-19
RMC-100001,Delta Build,Construction & Real Estate,South Africa,Johannesburg,2013,Prototype,Pending,1,67.6,Gold,54,21,97.44,0.0,True,False,True,False,Suggested,https://deltabuild.africa,info@deltabuild.africa,+234-94-9935,"Delta Build operates in construction & real estate from Johannesburg, South Africa, serving local and regional markets.",1,2025-05-30
RMC-100002,Umoya Travel,Tourism & Hospitality,Algeria,Algiers,2011,Growth,Verified,3,57.5,Silver,60,33,329525.44,2672365.42,True,True,False,True,Latest,https://umoyatravel.africa,info@umoyatravel.africa,+20-11-4582,"Umoya Travel operates in tourism & hospitality from Algiers, Algeria, serving local and regional markets.",1,2025-08-27
RMC-100003,Savannah Outlet,Retail & Ecommerce,Rwanda,Kigali,2019,Growth,Verified,3,48.5,Silver,88,26,140290.82,9760353.64,True,False,False,True,Suggested,https://savannahoutlet.africa,info@savannahoutlet.africa,+20-71-4257,"Savannah Outlet operates in retail & ecommerce from Kigali, Rwanda, serving local and regional markets.",1,2025-06-04
RMC-100004,Umoya Market,Retail & Ecommerce,Tunisia,Tunis,2022,Growth,Unverified,1,84.2,Platinum,55,52,165247.61,0.0,True,True,True,True,Latest,https://umoyamarket.africa,info@umoyamarket.africa,+227-75-5557,"Umoya Market operates in retail & ecommerce from Tunis, Tunisia, serving local and regional markets.",3,2025-05-09
RMC-100005,Delta Bazaar,Retail & Ecommerce,Uganda,Kampala,2017,Prototype,Pending,1,58.5,Silver,57,20,245.69,0.0,False,False,True,False,Latest,https://deltabazaar.africa,info@deltabazaar.africa,+223-35-3547,"Delta Bazaar operates in retail & ecommerce from Kampala, Uganda, serving local and regional markets.",0,2025-07-27
RMC-100006,Nova Agro,Agriculture,Morocco,Casablanca,2015,Early Revenue,Unverified,2,69.2,Gold,58,22,260561.37,0.0,False,False,True,True,Standard,https://novaagro.africa,info@novaagro.africa,+225-12-6881,"Nova Agro operates in agriculture from Casablanca, Morocco, serving local and regional markets.",1,2025-02-19
RMC-100007,Zuri Works,Manufacturing,Mozambique,Maputo,2014,Early Revenue,Unverified,2,75.1,Gold,43,47,142241.84,0.0,True,False,False,True,Standard,https://zuriworks.africa,info@zuriworks.africa,+227-68-3045,"Zuri Works operates in manufacturing from Maputo, Mozambique, serving local and regional markets.",2,2025-06-03
RMC-100008,Savannah Estate,Construction & Real Estate,Ethiopia,Addis Ababa,2012,Early Revenue,Pending,3,73.7,Gold,47,23,30801.13,907744.66,False,False,False,False,Standard,https://savannahestate.africa,info@savannahestate.africa,+233-79-6925,"Savannah Estate operates in construction & real estate from Addis Ababa, Ethiopia, serving local and regional markets.",0,2025-09-14
RMC-100009,Delta Shop,Retail & Ecommerce,Tanzania,Dar es Salaam,2019,Prototype,Pending,2,47.4,Silver,71,30,706.33,0.0,False,False,True,False,Suggested,https://deltashop.africa,info@deltashop.africa,+211-84-4733,"Delta Shop operates in retail & ecommerce from Dar es Salaam, Tanzania, serving local and regional markets.",0,2025-07-14
RMC-100010,Maji Travel,Tourism & Hospitality,Ethiopia,Addis Ababa,2020,Early Revenue,Verified,3,71.4,Gold,67,29,323688.76,768811.46,True,False,True,True,Latest,https://majitravel.africa,info@majitravel.africa,+225-35-8428,"Maji Travel operates in tourism & hospitality from Addis Ababa, Ethiopia, serving local and regional markets.",4,2025-08-05
RMC-100011,Kora Cloud,ICT / Software,Côte d’Ivoire,Abidjan,2018,Early Revenue,Unverified,3,88.4,Platinum,62,15,60117.72,0.0,False,False,False,False,Standard,https://koracloud.africa,info@koracloud.africa,+224-26-5374,"Kora Cloud operates in ict / software from Abidjan, Côte d’Ivoire, serving local and regional markets.",3,2025-09-15
RMC-100012,Baobab Industries,Manufacturing,Ethiopia,Addis Ababa,2013,Growth,Verified,3,49.2,Silver,77,34,298694.14,3538260.02,True,False,False,True,Standard,https://baobabindustries.africa,info@baobabindustries.africa,+216-68-5010,"Baobab Industries operates in manufacturing from Addis Ababa, Ethiopia, serving local and regional markets.",2,2025-07-17
RMC-100013,Nile Bazaar,Retail & Ecommerce,Uganda,Kampala,2020,Idea,Pending,3,68.6,Gold,74,39,90.66,50762.93,True,True,True,False,Suggested,https://nilebazaar.africa,info@nilebazaar.africa,+221-81-4598,"Nile Bazaar operates in retail & ecommerce from Kampala, Uganda, serving local and regional markets.",0,2025-08-21
RMC-100014,Blue Farms,Agriculture,Morocco,Casablanca,2019,Early Revenue,Verified,3,86.8,Platinum,62,11,75681.54,1020835.41,True,False,True,True,Latest,https://bluefarms.africa,info@bluefarms.africa,+211-40-7572,"Blue Farms operates in agriculture from Casablanca, Morocco, serving local and regional markets.",0,2025-03-17
RMC-100015,Nova Energy,Energy & Renewables,Senegal,Dakar,2019,Prototype,Pending,1,55.0,Silver,62,33,77.94,175898.17,True,True,False,False,Standard,https://novaenergy.africa,info@novaenergy.africa,+231-91-6155,"Nova Energy operates in energy & renewables from Dakar, Senegal, serving local and regional markets.",1,2025-02-01
RMC-100016,Umoya Renew,Energy & Renewables,Namibia,Windhoek,2014,Early Revenue,Verified,3,52.7,Silver,75,25,33296.3,927109.98,True,False,False,True,Standard,https://umoyarenew.africa,info@umoyarenew.africa,+227-18-5339,"Umoya Renew operates in energy & renewables from Windhoek, Namibia, serving local and regional markets.",3,2025-08-24
RMC-100017,Maji Urban,Construction & Real Estate,South Africa,Johannesburg,2021,Mature,Pending,3,55.4,Silver,57,84,167166.05,30000000.0,True,False,False,False,Latest,https://majiurban.africa,info@majiurban.africa,+230-68-5304,"Maji Urban operates in construction & real estate from Johannesburg, South Africa, serving local and regional markets.",1,2025-06-23
RMC-100018,Umoya Agri,Agriculture,Algeria,Algiers,2015,Early Revenue,Verified,3,48.5,Silver,78,32,61922.87,691479.54,True,False,False,False,Standard,https://umoyaagri.africa,info@umoyaagri.africa,+225-46-4593,"Umoya Agri operates in agriculture from Algiers, Algeria, serving local and regional markets.",0,2025-08-25
RMC-100019,Savannah Bazaar,Retail & Ecommerce,South Africa,Johannesburg,2021,Growth,Verified,3,58.8,Silver,81,58,111089.85,1462530.37,True,True,False,False,Standard,https://savannahbazaar.africa,info@savannahbazaar.africa,+212-96-1771,"Savannah Bazaar operates in retail & ecommerce from Johannesburg, South Africa, serving local and regional markets.",0,2025-02-05
RMC-100020,Kora Class,Education,Ghana,Accra,2015,Early Revenue,Verified,3,62.2,Silver,79,7,18484.55,875830.71,True,False,False,False,Latest,https://koraclass.africa,info@koraclass.africa,+216-87-7916,"Kora Class operates in education from Accra, Ghana, serving local and regional markets.",0,2025-09-07
RMC-100021,Nova Stay,Tourism & Hospitality,Mozambique,Maputo,2023,Growth,Pending,3,30.1,Bronze,55,14,304737.23,0.0,False,False,False,True,Standard,https://novastay.africa,info@novastay.africa,+225-76-8668,"Nova Stay operates in tourism & hospitality from Maputo, Mozambique, serving local and regional markets.",1,2025-08-05
